classe;cote_range;description
N;N5635.A-Z;Catalogs of exhibitions. By place, A-Z
N;N5640;Aegina
N;N5645;Argos
N;N5650;Athens
N;N5653;Boeotia
N;N5654;Corfu
N;N5655;Corinth
N;N5660;Crete
N;N5670;Delos
N;N5672;Delphi
N;N5680;Dordona
N;N5683;Ephesus
N;N5687;Macedonia
N;N5688;Megara
N;N5690;Melos
N;N5700;Mycenae
N;N5702;Olynthus
N;N5704;Peloponnesus
N;N5706;Rhodes (Island)
N;N5708;Sicyon. Sicyonia
N;N5709;Sparta
N;N5710;Tanagra
N;N5720;Tiryns
N;N5740;General works
N;N5750;Etruria
N;N5751;Folios
N;N5752;Friuli (Province)
N;N5753;Magna Grecia
N;N5755;Campania
N;N5758;Veneto
N;N5760;General works
N;N5761;Folios
N;N5763;General special
N;N5769;General works
N;N5770;Pompeii
N;N5771;Folios
N;N5775;Herculaneum
N;N5790.A-Z;Other cities, A-Z
N;N5801-5896.3;Other regions or countries (Table N1)
N;N5899.A-Z;Other ancient, A-Z
N;N5925;Celtic art
N;N5930;Old Germanic art
N;N5940;Medieval and modern art
N;N5941;Folios
N;N5950;Periodicals
N;N5960;Societies
N;N5961;Congresses
N;N5963.A-Z;United States. By city and museum, A-Z
N;N5964.A-Z;Other countries. By country and city, A-Z
N;N5965;Dictionaries
N;N5970;Treatises
N;N5971;Folios
N;N5975;General special
N;N5976;Chronological lists
N;N6242;Visigothic art
N;N6243;Merovingian art
N;N6245;Carolingian art
N;N6246;Albigensian art
N;N6250;Byzantine art
N;N6260;General works
N;N6261;Folios
N;N6263.A-Z;United States. By city and museum, A-Z
N;N6264.A-Z;Other countries. By country and city, A-Z
N;N6270;Moors in Spain
N;N6271;Folios
N;N6272;Ottoman art outside of Turkey
N;N6275;Viking art
N;N6280;Romanesque art
N;N6300;Crusader art
N;N6310;General works
N;N6311;Folios
N;N6313.A-Z;United States. By city and institution, A-Z
N;N6314.A-Z;Other countries. By country and city, A-Z
N;N6316;Early Gothic
N;N6318;High Gothic
N;N6320;Late Gothic
N;N6350;General works
N;N6351;Folios
N;N6351.2.A-Z;Special aspects or movements, A-Z
N;N6370;General works
N;N6371;General works
N;N6372.A-Z;Special aspects or movements, A-Z
N;N6374;General works
N;N6375.A-Z;Special aspects or movements, A-Z
N;N6407;General works
N;N6410;General works
N;N6415.A-Z;Special aspects or movements, A-Z
N;N6420;General works
N;N6425.A-Z;Special aspects or movements, A-Z
N;N6447;General works
N;N6447.5;Art movements (General)
N;N6448.A-Z;Special exhibitions, etc., A-Z
N;N6450;General works
N;N6460;Special. By year
N;N6465.A-Z;Special aspects or movements, A-Z
N;N6480;Periodicals
N;N6485;Congresses
N;N6485.2;Dictionaries
N;N6485.3;Directories
N;N6486;Collective
N;N6487.A-Z;United States. By city and museum, A-Z
N;N6488.A-Z;Other countries. By country and city, A-Z
N;N6488.5.A-Z;Private collections. By collector, A-Z
N;N6489;Collective biography
N;N6490;General works
N;N6490.3;Film catalogs
N;N6490.4;Art movements (General)
N;N6490.6;Artistic collaboration. Artist couples
N;N6493;Special, by year or brief span of years
N;N6494.A-Z;Special aspects or movements, A-Z
N;N6495;Periodicals
N;N6495.3;Congresses
N;N6495.5;Directories
N;N6495.8;Collective
N;N6496.A-Z;United States. By city and museum, A-Z
N;N6496.3.A-Z;Other countries. By country and city, A-Z
N;N6496.5.A-Z;Private collections. By collector, A-Z
N;N6496.8;Collective biography
N;N6497;General works
N;N6498.A-Z;Special aspects or movements, A-Z
N;N6501-7414;Special regions or countries (Table N5 modified)
N;N6502;General works
N;N6502.2;General works
N;N6502.3.A-Z;Special aspects or movements, A-Z
N;N6502.4;General works
N;N6502.45.A-Z;Special aspects or movements, A-Z
N;N6502.5;General works
N;N6502.57.A-Z;Special aspects or movements, A-Z
N;N6503;North America
N;N6505;General works
N;N6505.5.A-Z;Special aspects or movements, A-Z
N;N6507;General works
N;N6507.5.A-Z;Special aspects or movements, A-Z
N;N6510;General works
N;N6510.5.A-Z;Special aspects or movements, A-Z
N;N6512;General works
N;N6512.5.A-Z;Special aspects or movements, A-Z
N;N6512.7;General works
N;N6512.75.A-Z;Special aspects or movements, A-Z
N;N6537.A-Z;Special artists, A-Z
N;N6540;General works
N;N6540.5.A-Z;Special aspects or movements, A-Z
N;N6544;General works
N;N6544.5.A-Z;Special aspects or movements, A-Z
N;N6545;General works
